"仕入先ｺｰﾄﾞ","仕入先名１","仕入先名２","仕入先名略称","仕入先名索引","郵便番号","住所１","住所２","住所３","カスタマバーコード","電話番号","ＦＡＸ番号","支払先ｺｰﾄﾞ","支払先名","支払先区分名","担当者ｺｰﾄﾞ","担当者名","締日１","締日２","締日３","支払日１","支払日２","支払日３","支払ｻｲｸﾙ１","支払ｻｲｸﾙ名１","支払ｻｲｸﾙ２","支払ｻｲｸﾙ名２","支払ｻｲｸﾙ３","支払ｻｲｸﾙ名３","支払条件１","支払条件名１","支払条件２","支払条件名２","支払条件３","支払条件名３","金額処理区分名","消費税免税区分名","仕入単価設定区分名","消費税計算区分名","消費税計算単位","消費税分解区分名","支払明細書出力ﾀｲﾌﾟ名","支払明細書出力形式名","仕入先台帳出力形式名","支払消費税算出単位名","期首買掛残高","前回支払残高","相殺得意先ｺｰﾄﾞ","相殺得意先名","日付印字区分名","相手先担当者名","ﾏｽﾀｰ検索表示区分名","注文書出力区分名","個別設定入力行数"
"100000","諸口","","諸口","ｼｮｸﾁ","","","","","","","","100000","諸口","通常","000008","河田哲哉",30,0,0,30,0,0,0,"当月",0,"",0,"",9,"指定なし",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100001","アップワーズ","","アップワーズ","ｱｯﾌﾟﾜｰ","276-0046","千葉県八千代市","大和田新田59-106","","276004659-106","047-480-3727","047-480-3727","100001","アップワーズ","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100003","株式会社　ｲｰｽﾄｴﾝﾄﾞｶﾝﾊﾟﾆｰ","","㈱ｲｰｽﾄｴﾝﾄﾞｶﾝﾊﾟﾆｰ","ｲｰｽﾄｴﾝ","550-0004","大阪府大阪市西区","靱本町2-4-7","イーストエンドビル　9Ｆ","55000042-4-7-9","06-6448-6866","06-6448-6867","100003","㈱ｲｰｽﾄｴﾝﾄﾞｶﾝﾊﾟﾆｰ","通常","000015","石井伸洋",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100004","株式会社　イサムコーポレーション","","㈱ｲｻﾑｺｰﾎﾟﾚｰｼｮﾝ","ｲｻﾑｺｰﾎ","111-0051","東京都台東区","蔵前4-21-9","蔵前坂口ビル3F","11100514-21-9-3","03-5835-0871","03-5835-0874","100004","㈱ｲｻﾑｺｰﾎﾟﾚｰｼｮﾝ","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100005","株式会社　インターリンクス","","㈱インターリンクス","ｲﾝﾀｰﾘﾝ","116-0013","東京都荒川区","西日暮里5-9-12","山根ビル202号","11600135-9-12-202","03-3803-3824","03-3803-3823","100005","㈱インターリンクス","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100007","株式会社　コスミック","","㈱コスミック","ｺｽﾐｯｸ","164-0011","東京都中野区","中央3-45-18","","16400113-45-18","03-3365-6071","03-3365-1086","100007","㈱コスミック","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",-51818,-51818,"000000","","西暦","","表示","出力対象",0
"100014","株式会社　エンポリオ","","㈱エンポリオ","ｴﾝﾎﾟﾘｵ","133-0052","東京都江戸川区","東小岩1-3-1","","13300521-3-1","03-5693-0002","03-5693-0003","100014","㈱エンポリオ","通常","000008","河田哲哉",20,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100020","株式会社　協栄","","㈱協栄","ｷｮｳｴｲ","173-0016","東京都板橋区","中板橋8-1","","17300168-1","03-3964-6351","","100020","㈱協栄","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100030","株式会社　常真","","㈱常真","ｼﾞｮｳｼﾝ","110-0016","東京都台東区","台東4-27-5","松本マンション302","11000164-27-5-302","03-3833-5306","03-3833-5307","100030","㈱常真","通常","000008","河田哲哉",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"000000","","西暦","","表示","出力対象",0
"100031","株式会社　新洋","","㈱新洋","ｼﾝﾖｳ","167-0051","東京都杉並区","荻窪4-32-2","","16700514-32-2","03-3392-7177","03-3393-0284","100031","㈱新洋","通常","000008","河田哲哉",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"","切捨","課税","商品設定","切捨",1,"切捨","明細転記","","","",0,0,"100031","東洋時計㈱","西暦","","表示","出力対象",0
