"得意先ｺｰﾄﾞ","得意先名１","得意先名２","得意先名略称","得意先名索引","郵便番号","住所１","住所２","住所３","電話番号","ＦＡＸ番号","取引区分名","請求先ｺｰﾄﾞ","請求先名","請求先区分名","担当者ｺｰﾄﾞ","担当者名","締日１","締日２","締日３","入金日１","入金日２","入金日３","入金ｻｲｸﾙ１","入金ｻｲｸﾙ名１","入金ｻｲｸﾙ２","入金ｻｲｸﾙ名２","入金ｻｲｸﾙ３","入金ｻｲｸﾙ名３","入金条件１","入金条件名１","入金条件２","入金条件名２","入金条件３","入金条件名３","与信限度額"
"100001","諸口","","諸口","ｼｮｸﾁ","","","","","","","取引あり","100001","諸口","通常","000005","㈱インテック",30,0,0,30,0,0,0,"当月",0,"",0,"",0,"現金",0,"",0,"",500000
"100005","株式会社　インターリンクス","","㈱インターリンクス","ｲﾝﾀｰﾘﾝ","116-0013","東京都荒川区","西日暮里5-9-12","山根ビル202号","03-3803-3824","03-3803-3823","","100005","㈱インターリンクス","通常","000001","高橋",20,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"100030","株式会社　常真","","㈱常真","ｼﾞｮｳｼﾝ","110-0016","東京都台東区","台東4-27-5-302","","03-3833-5306","03-3833-5307","","100030","㈱常真","通常","000005","㈱インテック",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"100031","東洋時計　株式会社","","東洋時計㈱","ﾄｳﾖｳﾄｹ","167-0051","東京都杉並区","荻窪4-32-2","","03-3392-7177","03-3393-0284","取引あり","100031","東洋時計㈱","通常","000015","石井",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1000000
"100040","株式会社　中部プロット","","㈱中部プロット","ﾁｭｳﾌﾞ","441-8039","愛知県豊橋市","西橋良町42番地の6","","0532-39-7731","0532-46-5988","","100040","㈱中部プロット","通常","000015","石井",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",300000
"100047","株式会社　ドリテック","","㈱ドリテック","ﾄﾞﾘﾃｯｸ","343-0824","埼玉県越谷市","流通団地2-3-9","","048-961-1500","048-297-8433","","100047","㈱ドリテック","通常","000001","高橋",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",200000
"100050","ビー・アイモントル　株式会社","","ビー・アイモントル","ﾋﾞｰ･ｱｲ","103-0002","東京都中央区","日本橋馬喰町1-3-3","日本橋TKビル4F","03-5641-1450","03-5641-1455","取引あり","100050","ビー・アイモントル","通常","000001","高橋",20,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"100056","三星産業貿易　株式会社","","三星産業貿易㈱","ﾐﾂﾎﾞｼｻ","577-0053","大阪府東大阪市","高井田8-10","","06-6782-3155","06-6787-3187","取引なし","100056","三星産業貿易㈱","通常","000005","㈱インテック",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"100057","時計屋　ケイズショップ","有限会社　ﾒｲﾌｫｰｺｰﾎﾟﾚｰｼｮﾝ","㈲ﾒｲﾌｫｰｺｰﾎﾟﾚｰｼｮﾝ","ﾒｲﾌｫｰｺ","152-0035","東京都目黒区","自由が丘1-28-8","自由が丘デパート　B1","04-7136-2328","04-7136-2328","","100057","㈲ﾒｲﾌｫｰｺｰﾎﾟﾚｰｼｮﾝ","通常","000003","岡田",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",50000
"100067","有限会社　フォービート","","㈲フォービート","ﾌｫｰﾋﾞｰ","814-0180","福岡県福岡市城南区","七隈８丁目１９－１","","03-3800-0155","03-3800-0160","取引あり","100067","㈲フォービート","通常","000005","㈱インテック",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",1
"100075","KENTEX TIME CO.,LTD","","KENTEX TIME CO.,LTD","ｹﾝﾃｯｸｽ","","","","","","","取引あり","100075","KENTEX TIME CO.,LTD","通常","000001","高橋",30,0,0,5,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",1
"100084","株式会社　ティ・エヌ・ノムラ","","㈱ティ・エヌ・ノムラ","ﾃｨｴﾇﾉﾑ","542-0081","大阪府大阪市中央区","南船場1-11-3","本社ビル5F","06-6265-3580","06-6265-3584","","100084","㈱ティ・エヌ・ノムラ","通常","000015","石井",20,0,0,30,0,0,0,"当月",0,"",0,"",1,"振込",0,"",0,"",3000000
"100085","株式会社　三島商事","","㈱三島商事","ﾐｼﾏｼｮｳ","110-0016","東京都台東区","台東3-4-3","中尾ビル1FF","03-6277-4211","03-6277-4212","","100085","㈱三島商事","通常","000011","三島",30,0,0,10,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",200000
"100088","有限会社　ﾃｨｰﾂｰｲﾝﾀｰﾅｼｮﾅﾙ","","㈲ﾃｨｰﾂｰｲﾝﾀｰﾅｼｮﾅﾙ","ﾃｨｰﾂｰｲ","564-0051","大阪府吹田市","豊津町11-16","第一かつみビル2F","06-6190-1166","06-4861-1777","取引あり","100088","㈲ﾃｨｰﾂｰｲﾝﾀｰﾅｼｮﾅﾙ","通常","000015","石井",20,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",10000000
"100093","株式会社　サンブランド","","㈱サンブランド","ｻﾝﾌﾞﾗﾝ","543-0018","大阪府大阪市天王寺区","空清町10番1号","","06-6767-6333","06-6767-6336","","100093","㈱サンブランド","通常","000015","石井",20,0,0,20,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",30000000
"100101","エスピービー　株式会社","","エスピービー㈱","ｴｽﾋﾟｰﾋ","460-0008","愛知県名古屋市中区","栄3-18-1","ﾅﾃﾞｨｱﾊﾟｰｸﾋﾞｼﾞﾈｽｾﾝﾀｰﾋﾞﾙ14F","052-269-1580","052-269-1581","","100101","エスピービー㈱","通常","000019","松宮",30,0,0,15,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",3000000
"100102","株式会社　マルゼキ","","㈱マルゼキ","ﾏﾙｾﾞｷ","113-0033","東京都文京区","本郷2-15-13","お茶の水ウイングビル8F","03-5615-8785","03-5615-8783","","100102","㈱マルゼキ","通常","000011","三島",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",200000
"100103","株式会社　ケンテックスジャパン","","㈱ｹﾝﾃｯｸｽｼﾞｬﾊﾟﾝ","ｹﾝﾃｯｸｽ","110-0005","東京都台東区","上野5-5-8","IMIビル2F","03-5846-0811","03-5846-0812","","100103","㈱ｹﾝﾃｯｸｽｼﾞｬﾊﾟﾝ","通常","000003","岡田",30,0,0,15,0,0,2,"2ヶ月後",0,"",0,"",1,"振込",0,"",0,"",500000
"100105","アーサー　株式会社","","アーサー㈱","ｱｰｻｰ ｶ","540-0013","大阪府大阪市中央区","内久宝寺町4-3-8","","06-6768-1788","06-6768-1799","","100105","アーサー㈱","通常","000003","岡田",30,0,0,30,0,0,1,"翌月",0,"",0,"",1,"振込",0,"",0,"",500000
