"単価ﾏｽﾀｰ区分","単価ﾏｽﾀｰ区分名","単価種類","単価種類名","取引先ｺｰﾄﾞ","取引先名","商品ｺｰﾄﾞ","商品名","単価種別","単価種別名","単価","単価掛率","単価変更日付","変更後単価使用区分","期間単価対象日付","変更後単価","変更後単価掛率"
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340006","ｾｲｺｰ SNA225PC",0,"単価",12500.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340009","ｾｲｺｰ SND187P",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340010","ｾｲｺｰ SND191P",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340011","ｾｲｺｰ SND193P",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340012","ｾｲｺｰ SND195P",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340015","ｾｲｺｰ SND253PC",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340016","ｾｲｺｰ SND255PC",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340017","ｾｲｺｰ SND363PC",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340018","ｾｲｺｰ SND365PC",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340019","ｾｲｺｰ SND367PC",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340020","ｾｲｺｰ SND371PC",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340021","ｾｲｺｰ SND375PC",0,"単価",6800.00,0,"0",0,"0",0.00,0
0,"売上単価",1,"得意先別商品","100005","㈱インターリンクス","01340022","ｾｲｺｰ SND377P",0,"単価",6800.00,0,"0",0,"0",0.00,0
