商品ｺｰﾄﾞ	商品名	商品名索引	主仕入先ｺｰﾄﾞ	主仕入先名	標準売上単価	標準仕入単価	在庫評価単価	上代単価	新単価実施日	新標準売上単価	新標準仕入単価	新在庫評価単価	新上代単価	在庫状況ｺｰﾄﾞ	在庫状況名	商品大分類ｺｰﾄﾞ	商品大分類名	商品小分類ｺｰﾄﾞ	商品小分類名	商品種別ｺｰﾄﾞ	商品種別名	在庫保有ｺｰﾄﾞ	在庫保有名	棚コードｺｰﾄﾞ	棚コード名	倉庫保有ｺｰﾄﾞ	倉庫保有名	適正在庫数量	期首残数量	期首残金額	ﾏｽﾀｰ検索表示区分	ﾏｽﾀｰ検索表示区分名	JANｺｰﾄﾞ	
10001	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-795	pc-795	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10002	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-796	pc-796	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10003	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-797	pc-797	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130001	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-04	ss101-04	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130002	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-05	ss101-05	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10004	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-795	pc-795	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10005	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-796	pc-796	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10006	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-797	pc-797	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130004	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-04	ss101-04	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130005	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-05	ss101-05	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
130006	ﾋﾂｼﾞﾉｼｮｰﾝ SS101-06	ss101-06	100248	THREE ARROWS INTRENATIONAL LTD		650.000	690.000	6463.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
10007	ﾋﾟｴｰﾙｶﾙﾀﾞﾝ PC-795	pc-795	100226	Silcon Innoproducts Ltd		3500.000	3500.000	12000.000								64		641	ウオッチ完成品	2		1	無し			1	無し				0	表示する	4580402402108	
