brand_code,brand_name,brand_subname,brand_description,brand_category,brand_logofilename,barnd_website,brand_country
1,ﾋﾟｴｰﾙｶﾙﾀﾞﾝ,pierrecardin,,自社ライセンス,,,フランス
2,ｱﾙﾌﾞｰﾀｽ,abutas,,自社正規輸入,,,
3,ｳﾞｧﾚﾝﾃｨﾉ･ﾙﾃﾞｨｰ,valentinorudy,,自社ライセンス,,,
4,ﾚｺﾞ,LEGO,,自社正規輸入,,,イギリス
5,ｿｰﾗｽ,SOLUS,,自社正規輸入,,,香港
6,ｶｸﾀｽ,CACTUS,,自社正規輸入,,,オーストラリア
7,ﾌﾞﾗﾌﾏﾝ,BRAHMAN,,自社オリジナル,,,日本
8,ｽｲｽﾐﾘﾀﾘｰ,SWISSMILITARY,,自社正規輸入,,,スイス
9,ﾌｨﾗ,FILA,,自社正規輸入,,,韓国
10,ﾆｭｰﾊﾞﾗﾝｽ,newbalance,,自社正規輸入,,,アメリカ
11,ｴｲﾄｯﾌﾟ,ATOP,,自社正規輸入,,,香港
13,ﾋﾂｼﾞﾉｼｮｰﾝ,Shaun the Sheep,,自社ライセンス,,,イギリス
14,ｸﾞﾙｽ,GRUS,,自社オリジナル,,,日本
15,ｶﾗｰﾂｲﾝｽﾞ,color twins,,自社正規輸入,,,香港
16,ｲﾀﾘｱﾝｵｲﾙﾚｻﾞｰ,Italianoilleather,,自社オリジナル,,,
17,ｱｰﾊﾞﾝﾘｻｰﾁ,urban reseach,,自社ライセンス,,,日本
18,ﾁﾂﾞﾙ,千鶴,,自社オリジナル,,,日本
101,ｱｯｼｭｴﾙ,,,受託OEM,,,
102,ｱﾄﾞﾘｱｰﾉ,,,他社仕入,,,
104,ｳﾞｨｵｰﾙ,,,受託OEM,,,
105,ﾄｷﾏ,tokima,,他社仕入,,,
107,ｴﾙｼｵﾝ,,,受託OEM,,,
109,ｵﾘｴﾝﾄ,,,他社仕入,,,
111,ｵﾚｵｰﾙ,,,他社仕入,,,
112,ｶﾝｻｲｾﾚｸｼｮﾝ,,,受託OEM,,,
113,ｸｰﾙﾊﾞｲｶｰｽﾞ,,,他社仕入,,,
114,ｸﾚｰｼﾞｭ,,,他社仕入,,,
115,ｸﾛﾄﾝ,,,他社仕入,,,
116,ｹﾞﾙﾏ,,,他社仕入,,,
118,ｹﾝﾃｯｸｽ,,,他社仕入,,,
119,ｺｰﾁ,,,他社仕入,,,
120,ｺｺﾃﾞｽ,,,他社仕入,,,
121,ｺﾁｺﾁ,,,他社仕入,,,
122,ｻｸｽﾆ-,,,他社仕入,,,
123,ｻﾝｼﾞｪﾙﾏﾝﾒｻﾞﾏｼ,,,他社仕入,,,
124,ｼｰｹｰ,,,他社仕入,,,
125,ｼﾞｮﾝﾊﾘｿﾝ,,,他社仕入,,,
126,ｼﾞｪｯﾄｾｯﾄ,,,他社仕入,,,
127,ｼﾞｯﾎﾟﾗｲﾀｰ,ZIPPO,,他社仕入,,,
128,ZIPPOｳｵｯﾁ,,,他社仕入,,,
130,ｼﾞｭﾈｰﾌﾞ,,,他社仕入,,,
131,ｼﾞｮﾙｼﾞｵﾛｯｼ,,,他社仕入,,,
132,ｽｳｫｯﾁ,,,他社仕入,,,
133,ｽｳｫｯﾁﾋﾞｼﾞｭ,,,他社仕入,,,
134,ｾｲｺｰ,SEIKO,,他社仕入,,,
135,ﾀｹｵﾆｼﾀﾞ,,,他社仕入,,,
136,ﾁｺ,,,他社仕入,,,
137,ﾁﾁﾆｭｰﾖｰｸ,,,他社仕入,,,
138,ﾁｭｯﾊﾟﾁｬﾌﾟｽ,,,他社仕入,,,
139,D&G,,,他社仕入,,,
140,ﾃｨｿ,TISSOT,,他社仕入,,,
141,ﾃｸﾉｽ,TECHNOS,,他社仕入,,,
