supplier_code,supplier_name,supplier_index,supplier_zipcode,supplier_address1,supplier_address2,supplier_address3,supplier_tel,supplier_fax,supplier_email,supplier_salerep,supplier_industrytype,supplier_businesstype,supplier_information
100001,アップワーズ,ｱｯﾌﾟﾜｰ,276-0046,千葉県八千代市,大和田新田59-106,,047-480-3727,047-480-3727,,,,,
100003,株式会社　ｲｰｽﾄｴﾝﾄﾞｶﾝﾊﾟﾆｰ,ｲｰｽﾄｴﾝ,550-0004,大阪府大阪市西区,靱本町2-4-7,イーストエンドビル　9Ｆ,06-6448-6866,06-6448-6867,,,,,
100004,株式会社　イサムコーポレーション,ｲｻﾑｺｰﾎ,111-0051,東京都台東区,蔵前4-21-9,蔵前坂口ビル3F,03-5835-0871,03-5835-0874,,,,,
100007,株式会社　コスミック,ｺｽﾐｯｸ,164-0011,東京都中野区,中央3-45-18,,03-3365-6071,03-3365-1086,,,,,
100014,株式会社　エンポリオ,ｴﾝﾎﾟﾘｵ,133-0052,東京都江戸川区,東小岩1-3-1,,03-5693-0002,03-5693-0003,,,,,
100020,株式会社　協栄,ｷｮｳｴｲ,173-0016,東京都板橋区,中板橋8-1,,03-3964-6351,,,,,,
100030,株式会社　常真,ｼﾞｮｳｼﾝ,110-0016,東京都台東区,台東4-27-5,松本マンション302,03-3833-5306,03-3833-5307,,,,,
100031,株式会社　新洋,ｼﾝﾖｳ,167-0051,東京都杉並区,荻窪4-32-2,,03-3392-7177,03-3393-0284,,,,,
100034,奥村嘉次,ｵｸﾑﾗ,270-0114,千葉県流山市,東初石3-127-4,,0471-52-6676,0471-52-6676,,,,,
100035,株式会社　第一昭和,ﾀﾞｲｲﾁｼ,103-0001,東京都中央区,日本橋小伝馬町7-10,,03-3667-0761,03-3249-5297,,,,,
100036,有限会社　タイムリバース,ﾀｲﾑﾘﾊﾞ,110-0016,東京都台東区,台東4-6-5,御徒町グリーンプラザ703,03-5688-5556,,,,,,
100038,株式会社　タックルプランニング,ﾀｯｸﾙﾌﾟ,564-0051,大阪府吹田市,豊津町11-16,第一かつみビル2F,06-4861-0777,06-4861-1777,,,,,
100040,株式会社　中部プロット,ﾁｭｳﾌﾞﾌ,440-0851,愛知県豊橋市,前田南町1-9-21,,0532-51-1801,0532-51-1881,,,,,
100041,ツダカ商事　株式会社,ﾂﾀﾞｶｼｮ,541-0059,大阪府大阪市中央区,博労町3-1-7,,06-6245-5588,06-6251-5739,,,,,
100043,株式会社　東英,ﾄｳｴｲ,550-0023,大阪府大阪市西区,千代崎1-16-10,Aトレードビル,06-6584-3656,,,,,,
100047,株式会社　ドリテック,ﾄﾞﾘﾃｯｸ,343-0824,埼玉県越谷市,流通団地2-3-9,,048-961-1500,048-297-8433,,,,,
100050,ビー・アイモントル　株式会社,ﾋﾞｰ･ｱｲ,103-0002,東京都中央区,日本橋馬喰町1-3-3,日本橋TKビル4F,03-5641-1450,03-5641-1455,,,,,
100054,株式会社　フジサワ,ﾌｼﾞｻﾜ,120-0044,東京都足立区,千住緑町1-15-1,,03-3882-1991,03-3882-0738,,,,,
100055,株式会社　ベアーズ,ﾍﾞｱｰｽﾞ,120-0021,東京都足立区,日ノ出町14-3,,03-3881-1218,,,,,,
100056,三星産業貿易　株式会社,ﾐﾂﾎﾞｼｻ,577-0053,大阪府東大阪市,高井田8-10,,06-6782-3155,06-6787-3187,,,,,
100057,時計屋　ケイズショップ,ﾒｲﾌｫｰｺ,152-0035,東京都目黒区,自由が丘1-28-8,自由が丘デパート　B1,04-7136-2328,04-7136-2328,,,,,
100058,株式会社　ユナイテッド,ﾕﾅｲﾃｯﾄ,171-0021,東京都豊島区,西池袋5-26-19,陸王西池袋ビル7,03-5995-2801,03-5995-2775,,,,,
100063,アクシェ・インターナショナル,ｱｸｼｪ･ｲ,110-0016,東京都台東区,台東3-35-7,ペガサスミシンビル502,03-3833-3822,03-3833-3821,,,,,
100064,井島貴金属精錬　株式会社,ｲｼﾞﾏｷｷ,116-0013,東京都荒川区,西日暮里2-50-10,,03-3803-1705,,,,,,
100065,ジェムクリニックセンター,ｼﾞｪﾑｸﾘ,110-0005,東京都台東区,上野5-16-6,信宝ビル3F,03-3834-6371,03-3836-3647,,,,,
100066,株式会社,ﾄﾚｼﾞｬｰ,110-0015,東京都台東区,東上野1-13-5,,03-3833-5836,03-3833-5837,,,,,
100067,有限会社　フォービート,ﾌｫｰﾋﾞｰ,114-0011,東京都北区,昭和町2-1-6,中久喜ビル303,03-3800-0155,03-3800-0155,,,,,
100068,有限会社　ヨシダ,ﾖｼﾀﾞ,350-0027,埼玉県川越市,南田島598-1,,0492-46-2231,0492-46-2232,,,,,
100069,入倉宝飾　有限会社,ｲﾘｸﾗﾎｳ,173-0026,東京都板橋区,中丸町54-1,,03-3955-5772,03-3955-5778,,,,,
100070,ECO-HARU（FAR　EAST)LIMITED,ｴｺﾊﾙ,,,,,,,,,,,
100071,EGANA OF SWITZERLAND(F.E)LTD,ｴｶﾞﾅ,,,,,,,,,,,
100072,MIRNAR TRADERS LIMITED,ﾐﾙﾅｰﾙ,,,,,,,,,,,
100073,QPF LTD,ｷｭｰﾋﾟｰ,,,,,,,,,,,
100074,HAYASHI COMPANY,ﾊﾔｼ,,,,,,,,,,,
100075,"KENTEX TIME CO.,LTD",ｹﾝﾃｯｸｽ,,"Room4,11/F,Sun Cheong Industrial","Building2-4 Cheung Yee Street,","Cheung Sha Wan,Kowloon,Hong Kong",,,,,,,
100077,SKY SILVER LIMITED,ｽｶｲｼﾙﾊ,,,,,,,,,,,
100078,"EVERGREEN MST CO.,LTD",ｴﾊﾞｰｸﾞ,,,,,,,,,,,
100079,スウォッチグループジャパン,ﾗﾄﾞｰ,104-8188,東京都中央区,銀座7-9-18,ニコラス・G・ハイエックセンター,03-6254-7330,03-6254-7125,,,,,
100080,株式会社　DINKS,ﾃﾞｨﾝｸｽ,543-0024,大阪府大阪市天王寺区,舟橋町5-19,舟橋ビル1F,06-6762-4500,06-6768-9955,,,,,
100081,スウォッチグループジャパン,ﾛﾝｼﾞﾝ,104-8188,東京都中央区,銀座7-9-18,ニコラス・G・ハイエックセンター,03-6254-7350,03-6254-7125,,,,,
100083,㈱ライズ,ﾗｲｽﾞ,337-0051,埼玉県さいたま市見沼区大宮,5-30-12-7F,,048-686-0307,048-686-9788,,,,,
100084,株式会社　ティ・エヌ・ノムラ,ﾃｨｴﾇ,542-0081,大阪府大阪市中央区,南船場1-11-3-5F,,06-6265-3540,06-6265-3542,,,,,
100085,株式会社　三島商事,ﾐｼﾏｼｮｳ,111-0056,東京都台東区,小島2-20-7,扶桑御徒町ビル7階,03-6277-4211,03-6277-4212,,,,,
100086,氏家商事　株式会社,ｳｼﾞｲｴｼ,124-0012,東京都葛飾区,立石7-2-5,,03-3697-9138,03-3697-9134,,,,,
100087,ねのひ,ﾈﾉﾋ,547-0024,大阪府大阪市平野区,瓜破4-2-45,,06-6790-7633,,,,,,
100088,有限会社　ティーツー,ﾃｨｰﾂｰ,564-0051,大阪府吹田市,豊津町11-16,第一かつみビル2F,06-6190-1166,06-4861-1777,,,,,
100089,"SUN　KEY　TIME　CO.,LTD.",ｻﾝｹｲ,,,,,,,,,,,
100090,スウォッチグループジャパン,ｼｰｹｰ,104-8188,東京都中央区,銀座7-9-18,ニコラス・G・ハイエックセンター,03-6254-7380,03-6254-7124,,,,,
100091,株式会社　エフエフ商事,ｴﾌｴﾌｼｮ,167-0051,東京都杉並区,荻窪4-32-2,,03-3392-1333,03-3393-0284,,,,,
100092,石福ジュエリーパーツ,ｲｼﾌｸｼﾞ,110-0005,東京都台東区,上野5-22-6,,03-3832-5241,03-3836-2063,,,,,
100093,株式会社　サンブランド,ｻﾝﾌﾞﾗﾝ,543-0018,大阪府大阪市天王寺区,空清町10-1,,06-6767-6333,06-6767-6336,,,,,
100094,株式会社　ヨシダ宝飾,ﾖｼﾀﾞﾎｳ,142-0064,東京都品川区,旗の台2-6-12,,03-3787-0232,03-3786-8284,,,,,
100095,貴船ファーイースト,ｷﾌﾈﾌｧｰ,476-0011,愛知県東海市,富木島町貴船46,,052-601-8060,052-601-0369,,,,,
100096,フェデラルエクスプレス,ﾌｪﾃﾞﾗﾙ,261-7110,千葉県千葉市美浜区,中瀬2丁目6番地,ﾜｰﾙﾄﾞﾋﾞｼﾞﾈｽｶﾞｰﾃﾞﾝ　ﾏﾘﾌﾞｳｴｽﾄ,0120-732327,,,,,,
100097,バンテックワールドトランスポート,ﾊﾞﾝﾃｯｸ,103-0023,東京都中央区,日本橋本町4-9-11,第9中央ビル5F,03-5847-5630,03-5847-5635,,,,,
100098,税関,ｾﾞｲｶﾝ,,,,,,,,,,,
100099,銀行,ｷﾞﾝｺｳ,,,,,,,,,,,
100100,中南海貿易　有限会社,ﾁｭｳﾅﾝｶ,110-0015,東京都台東区,東上野1-9-7,ビジョン東上野ビル5F,03-3834-0371,03-3837-2386,,,,,
100101,エスピービー　株式会社,ｴｽﾋﾟｰﾋ,460-0008,愛知県名古屋市中区,栄3-18-1,ﾅﾃﾞｨｱﾊﾟｰｸﾋﾞｼﾞﾈｽｾﾝﾀｰﾋﾞﾙ14F,052-269-1580,052-269-1581,,,,,
100102,株式会社　マルゼキ,ﾏﾙｾﾞｷ,113-0033,東京都文京区,本郷2-15-13,お茶の水ウイングビル8F,03-5615-8785,03-5615-8783,,,,,
100103,株式会社　ケンテックスジャパン,ｹﾝﾃｯｸｽ,110-0005,東京都台東区,上野5-5-8,IMIビル2F,03-5846-0811,03-5846-0812,,,,,
100104,有限会社,ｴｲｹｲｴｸ,110-0016,東京都台東区,台東4-27-7-301,,03-3836-6507,03-3836-6517,,,,,
100105,アーサー　株式会社,ｱｰｻｰ,540-0013,大阪府大阪市中央区,内久宝寺町4-3-8,,06-6768-1788,06-6768-1799,,,,,
100106,株式会社　ホーゲル,ﾎｰｹﾞﾙ,542-0081,大阪府大阪市中央区,南船場1-11-3,,06-6265-3580,06-6265-3584,,,,,
100107,MANLEI PRECISION LTD,ﾏﾝﾚｲ,,,,,,,,,,,
100108,エガナ・タイム・ジャパン,ｴｶﾞﾅ･ﾀ,171-0021,東京都豊島区,西池袋5-26-19,陸王西池袋ビル　7F,03-5995-2806,03-5995-2775,,,,,
100109,有限会社　サンプランマイド,ｻﾝﾌﾟﾗﾝ,110-0016,東京都台東区,台東3-13-9,第2星野ビル4F,03-5812-8035,03-5812-5905,,,,,
100110,有限会社アフェクティー・エ・コー,ｱﾌｪｸﾃｨ,273-0012,千葉県船橋市,浜町2-2-5-1002,,047-433-1127,047-433-1129,,,,,
100111,東京税関,ﾄｳｷｮｳｾ,,,,,,,,,,,
100112,有限会社　ティーズスタイル,ﾃｨｰｽﾞｽ,564-0051,大阪府吹田市,豊津町11-16,第一かつみビル2F,06-4861-0777,06-4861-1777,,,,,
100113,株式会社　原田企画,ﾊﾗﾀﾞｷｶ,104-0061,東京都中央区,銀座8-9-11,銀座天國ビル　6F,03-3571-0911,03-3571-5044,,,,,
100114,海外新聞普及　株式会社,ｶｲｶﾞｲｼ,108-0023,東京都港区,芝浦2-9-13,,03-5476-8128,,,,,,
100115,日本ゴールドファイル販売,ﾆﾎﾝｺﾞｰ,171-0021,東京都豊島区,西池袋5-26-17,陸王西池袋ビル7F,03-5995-2750,03-5995-2775,,,,,
100116,有限会社　エバーグリーン,ｴﾊﾞｰｸﾞ,116-0014,東京都荒川区,東日暮里1-16-5-302,,03-3891-6559,03-3891-6559,,,,,
100117,有限会社　ノルディック,ﾉﾙﾃﾞｨｯ,540-0004,大阪府大阪市中央区,玉造1-21-22,第二t鍵ビル202号,06-6763-3117,,,,,,
100118,有限会社　ココデス,ｺｺﾃﾞｽ,332-0001,埼玉県川口市,朝日1-21-17,,090-9348-6924,048-226-7233,,,,,
100119,有限会社　クライム,ｸﾗｲﾑ,285-0034,千葉県佐倉市,千成2-22-7,,043-485-5765,043-485-5765,,,,,
100120,株式会社　長屋商会,ﾅｶﾞﾔｼｮ,567-0887,大阪府茨木市,西中条町3番,ＮＳビル3階,072-645-0770,072-645-0778,,,,,
100121,SKY LONG INTERNATONAL LTD,ｽｶｲﾛﾝｸ,,,,,,,,,,,
100122,株式会社　トリガー,ﾄﾘｶﾞｰ,114-0002,東京都北区,王子3-22-24,東建会館4F,03-5902-7881,,,,,,
100123,有限会社　ジュリア商会,ｼﾞｭﾘｱｼ,110-0005,東京都台東区,上野3-7-8,,03-3837-2676,03-3837-2709,,,,,
100124,オリエント時計　株式会社,ｵﾘｴﾝﾄﾄ,160-0022,東京都新宿区,新宿4-1-6,JR新宿ミライナタワー29階,03-5312-0456,03-5312-0456,,,,,
100125,スウォッチグループジャパン,ﾃｨｿ,104-0061,東京都中央区,銀座7-13-8,第2丸高ビル9F,03-5565-1441,03-5565-1465,,,,,
100126,ｴｶﾞﾅ･ｺﾞｰﾙﾄﾞﾌｧｲﾙ･ｼﾞｬﾊﾟﾝ,ｴｶﾞﾅ･ｺ,171-0021,東京都豊島区,西池袋5-26-19,陸王西池袋ビル7Ｆ,03-5995-2806,03-5995-2775,,,,,
100127,有限会社　ティーアンドアイ,ﾃｨｰｱﾝﾄ,110-0005,東京都台東区,上野3-15-8,寺田ビル2F,03-3839-0311,03-3839-0318,,,,,
100128,セイコーウォッチ　株式会社,ｾｲｺｰｳｫ,104-0061,東京都中央区,銀座1-26-1,,03-3564-4651,03-3564-5427,,,,,
100129,株式会社　タイアップ,ﾀｲｱｯﾌﾟ,576-0052,大阪府交野市,私部7-5-1,サンシティ交野610号,070-6920-4891,072-892-1871,,,,,
100130,株式会社　ランク,ﾗﾝｸ,110-0015,東京都台東区,東上野1-7-12,,03-3833-2621,03-3833-2622,,,,,
100131,中国寧波広海　有限公司,ﾁｭｳｺﾞｸ,,CHONG SHOU ECONMIC DEVLOP.NINGBO,CHINA,,,,,,,,
100132,マルマン　株式会社,ﾏﾙﾏﾝ,101-0021,東京都千代田区,外神田1-8-13,NREG秋葉原ビル　4階,03-3526-9980,03-3526-9981,,,,,
100133,ｼﾞｬﾊﾟﾝﾎﾟｰﾄｻｰﾋﾞｽ　株式会社,ｼﾞｬﾊﾟﾝ,140-0004,東京都品川区,南品川5-6-9,JPSビル,03-3450-9150,03-3450-9155,,,,,
100134,株式会社　和工,ﾜｺｳ,335-0033,埼玉県戸田市,笹目北町12-11,,048-421-9831,048-422-1859,,,,,
